donor,path,sha256,size_bytes,file_type,language,classification,authority_status,semantic_record_ids,notes
ai-setup,docs/superpowers/specs/audit-notes/07-path-a-dogfood.md,d80581441d65baa4a6d42417228df5f162b8d7d48a1e77f4aec27a5701d06fd0,9848,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/08-path-b-dogfood.md,f38c02981ebb9ced64f7199a717e13255f37b90683c7e94c199929913d1a5e76,7272,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/12-path-b-synthetic.md,a9ca6427c098dd4bde65837b8b2e205717dd3408e9c09e09446dfd4f33c1cda2,6049,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/15-quality-synthetic.md,cb9bce7f78369fb191f1cc93aedc4efa0014e25ce73ab80d3b4c7e4438310b7c,7792,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/16-refresh.md,25bf093e84d3db6869ccde5303471effb2cbc7f1dab6db20baff1e5d1c0d573f,8556,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/07-path-a-dogfood-bootstrap.txt,1d795b62e6b861aac5d742b0a094ba268db0176374d56089ac842a858a91b2cb,530,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/07-path-a-dogfood-setup.txt,ce7a7abd44399f3ebcff5df4b48191742b3c2b9d1277cddd32a8536809f0b2eb,923,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT;CAL-MULTI,
ai-setup,docs/superpowers/specs/audit-notes/raw/08-path-b-dogfood-init-retry.txt,e6fa61891f3dae8772f5870e817572662399d994727fec10d27afcf045029354,960674,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/08-path-b-dogfood-init.txt,22e851345e79fcf1d235172a49b85d5fc8f2a18ec00e6782d20bebba3aaa478b,203350,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/12-path-b-synthetic-init.txt,ba87e4acf32dcb497dacb4294b51731cb8922fe510f2f888b9b4a3e96c7380d8,1712379,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/16-manual-refresh.txt,02ac47e00efe0fd01f4ce4f5cf9a1f7eb09046806784d7f9679d9f068b06426b,1650,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/16-refresh-noop.txt,d970a8ac35762560dc25a7c80e4c17483241c9bb572e55abb18c94dfdcf83ab8,590,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,docs/superpowers/specs/audit-notes/raw/16-refresh-rename.txt,d606534d6a795e50cd0dafc79f9c92feaa8f7371046fa5b96afa45b14cdf5893,662,txt,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,eslint.config.js,8c7b9623aa39436407394d9b01eeb103ab4e080281abac7ff770efd4af14df86,1191,js,javascript,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,index.cjs,5b7e902935d194ce877728a2473592c5bb39751ec33044771f4f0b2a2b5875ba,13836,cjs,unknown,implementation,authoritative-or-review-required,CAL-ROOT,
ai-setup,package-lock.json,820931a5527c508ec70158c792e8daf503cd13be9331daf72581e13085c72ceb,195139,json,json,configuration,authoritative-or-review-required,CAL-ROOT,
ai-setup,package.json,66498b82cec2cff408f416f092eaa98a008a49002bff35029c37d103c6abfc65,2505,json,json,configuration,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/__tests__/generate-skills.test.mjs,ec84fbfcef0d16c166f7077a531163efc964ca10477cbee835ae1d60ca66d6b5,4928,mjs,unknown,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/copy-hook-runner.mjs,0b783aa67d0be4e82800b976ec254a878a74a85d97cf9f8d2c972e8a4359e507,843,mjs,unknown,script,authoritative-or-review-required,CAL-ROOT;CAL-HOOKS,
ai-setup,scripts/demo-init.sh,4c8c079b3b4fb4de1b1ea757fef9e2705638150b954489b75bdd3f91d699ea56,53,sh,shell,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/demo-output.sh,964910081ea049e1259b70f325f9005d5af0b2985dd605fd516f474438347e48,3548,sh,shell,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/demo-shell.sh,1fa6e5afb7dcf98c235ceafbb9c72ae8047485fb7a0c287024193ea7f62e025f,65,sh,shell,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/demo.tape,0aba1cde22bcf2256551548706489c53b97f6408bac95edeab10ca8e8e71867f,717,tape,unknown,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/generate-skills.mjs,b5a9bdb0d089948b054590053fc94b4a60f1d7dda09d7435a46933a916ff18b2,8915,mjs,unknown,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,scripts/postinstall.js,de8ca7d7bd9e9219b77a1a412e6e75d1c2499b4004d73c3e70b153cc25eb479c,867,js,javascript,script,authoritative-or-review-required,CAL-ROOT,
ai-setup,skills/adding-a-command/SKILL.md,4ee106e41844ff025af6bd939324c7941c0e1cc60f3e591dad2e852467042694,7911,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
ai-setup,skills/caliber-testing/SKILL.md,9444971184e66b30dea74dcf41567bf0939cec8aa09e24778fb877639f8cacb0,12945,md,markdown,documentation,authoritative-or-review-required,CAL-ROOT,
